Jersey,Player,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,OReb,DReb,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls
3,"Johnson, Antoine",Jr,G,6-0,19,,,48,105,45.71,4,20,20,19,39,48.72,119,6.26,,,41,2.16,36,,21,3,
10,"Hanson, Antonio",Jr,G,6-2,30,,,123,310,39.68,83,212,39.15,31,41,75.61,360,12,,,48,1.6,71,,21,0,
12,"Thompson, Blake",Jr,G,5-10,7,,,0,1,0,0,0,,3,4,75,3,0.43,,,2,0.29,0,,0,0,
13,"Janiszewski, Krzysztof",Jr,C,6-11,28,,,14,31,45.16,0,1,0,5,14,35.71,33,1.18,,,33,1.18,6,,2,7,
14,"Brannen, Jeb",Fr,G,6-0,17,,,1,9,11.11,0,2,0,1,5,20,3,0.18,,,17,1,8,,5,1,
21,"Troupe, Tyler",Jr,F,6-7,30,,,117,274,42.7,25,86,29.07,38,57,66.67,297,9.9,,,193,6.43,27,,23,16,
22,"Drayton, Ben",Fr,G,5-10,30,,,120,253,47.43,43,88,48.86,71,98,72.45,354,11.8,,,70,2.33,78,,32,2,
23,"Perry, Sandy",Jr,F,6-7,28,,,74,158,46.84,2,11,18.18,25,37,67.57,175,6.25,,,66,2.36,11,,14,14,
24,"Allen, Julian",Sr,G,6-4,20,,,92,186,49.46,7,17,41.18,46,59,77.97,237,11.85,,,133,6.65,25,,28,9,
32,"Marshall, Anthony",Sr,G,6-5,27,,,30,88,34.09,10,47,21.28,38,62,61.29,108,4,,,95,3.52,18,,17,2,
44,"Pearson, Trumaine",Sr,F,6-8,20,,,33,70,47.14,7,17,41.18,23,38,60.53,96,4.8,,,61,3.05,3,,8,10,
45,"Ward, Kenith",Sr,F,6-6,26,,,23,55,41.82,0,0,,12,27,44.44,58,2.23,,,69,2.65,14,,8,4,
50,"Powers, Willie",So,G,6-2,11,,,59,126,46.83,9,33,27.27,32,40,80,159,14.45,,,34,3.09,40,,17,3,
53,"Wohlleb, Colby",Fr,G,6-6,24,,,38,110,34.55,23,82,28.05,13,18,72.22,112,4.67,,,51,2.12,11,,8,2,
