Jersey,Player,Yr,Pos,Ht,GP,GS,Min,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,OReb,DReb,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl
1,"Rucker, Johntavious",Jr,G,6-2,32,21,661:00:00,51,121,42.15,1,13,7.69,27,57,47.37,130,4.06,51,81,132,4.12,53,52,59,4,79,1,0
2,"Spencer, Rory",Jr,F,6-8,32,25,748:00:00,106,205,51.71,0,0,,100,170,58.82,312,9.75,47,99,146,4.56,22,71,16,62,110,0,0
5,"Johnson, Antoine",Sr,G,6-0,27,5,400:00:00,52,117,44.44,1,8,12.5,27,50,54,132,4.89,14,33,47,1.74,50,40,28,6,51,0,0
10,"Hanson, Antonio",Sr,G,6-2,32,32,976:00:00,148,360,41.11,100,241,41.49,34,38,89.47,430,13.44,12,38,50,1.56,35,52,33,1,67,0,0
11,"Coxworth, Alex",Fr,G,6-2,2,0,5:00,1,3,33.33,1,3,33.33,1,2,50,4,2,0,0,0,0,0,0,0,0,0,0,0
13,"Janiszewski, Krzysztof",Sr,C,6-11,25,1,142:00:00,16,38,42.11,0,0,,5,7,71.43,37,1.48,16,18,34,1.36,2,19,2,6,25,0,0
14,"Brannen, Jeb",So,G,6-0,12,0,64:00:00,3,7,42.86,0,2,0,2,2,100,8,0.67,0,1,1,0.08,1,3,3,0,7,0,0
21,"Troupe, Tyler",Sr,F,6-7,32,13,509:00:00,37,109,33.94,6,18,33.33,17,27,62.96,97,3.03,46,64,110,3.44,19,43,12,11,56,0,0
22,"Drayton, Ben",So,G,5-10,30,6,730:00:00,99,235,42.13,31,95,32.63,52,71,73.24,281,9.37,29,33,62,2.07,66,44,35,0,62,0,0
23,"Perry, Sandy",Sr,F,6-7,18,4,2:20,21,49,42.86,0,1,0,8,12,66.67,50,2.78,11,5,16,0.89,2,8,3,1,27,0,0
35,"Baskerville, Cameron",Fr,F,6-7,29,11,484:00:00,30,90,33.33,1,5,20,29,47,61.7,90,3.1,40,52,92,3.17,9,34,15,8,69,0,0
50,"Powers, Willie",Jr,G,6-2,32,30,1037:00:00,157,365,43.01,30,102,29.41,127,159,79.87,471,14.72,27,79,106,3.31,175,118,41,3,79,2,0
53,"Wohlleb, Colby",So,G,6-6,27,12,9:14,70,150,46.67,60,123,48.78,18,23,78.26,218,8.07,11,56,67,2.48,10,21,12,4,59,0,0
