Jersey,Player,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,OReb,DReb,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl
0,"Roberts, Cleon",Fr,G,6-6,33,33,901:00:00,91,214,42.52,42,109,38.53,60,82,73.17,284,8.61,28,55,83,2.52,32,45,36,6,72,,
1,"Pernell, Jessie",So,G,6-1,6,0,132:00:00,10,31,32.26,6,22,27.27,2,2,100,28,4.67,2,1,3,0.5,5,6,5,,9,,
2,"Mike, Sam",Jr,F,6-6,29,5,237:00:00,19,32,59.38,,,,4,10,40,42,1.45,9,25,34,1.17,,10,3,,27,,
3,"Ferguson, Eric",Jr,G,6-7,33,26,976:00:00,160,335,47.76,21,64,32.81,106,158,67.09,447,13.55,56,147,203,6.15,33,80,51,26,98,5,
4,"Ham Jr., Tracy",So,G,5-8,3,,13:00,,1,,,,,,,,,,,,,,1,2,,,2,,
10,"Baynham, Marvin",Jr,F,6-6,33,12,630:00:00,61,114,53.51,,,,46,82,56.1,168,5.09,60,79,139,4.21,18,41,15,5,85,,
11,"Bussey, Tré",Jr,G,6-2,33,24,983:00:00,103,286,36.01,33,107,30.84,49,71,69.01,288,8.73,29,82,111,3.36,38,57,23,2,50,,
12,"Holmes, Brian",Jr,G,6-1,26,4,513:00:00,40,103,38.83,11,36,30.56,19,29,65.52,110,4.23,16,39,55,2.12,44,36,20,1,37,,
14,"Rives, Cole",Fr,G,6-0,7,,15:00,2,5,40,2,4,50,2,4,50,8,1.14,,,,,,,2,,2,,
23,"Daniels, Chris",Fr,F,6-5,26,,151:00:00,8,24,33.33,,,,2,6,33.33,18,0.69,11,26,37,1.42,6,16,4,2,13,,
24,"Reed, C.J.",Sr,G,6-3,33,33,1142:00:00,139,389,35.73,60,171,35.09,88,108,81.48,426,12.91,12,97,109,3.3,124,70,38,1,65,,
32,"Baskerville, Cameron",Sr,F,6-7,33,19,634:00:00,66,143,46.15,10,29,34.48,41,47,87.23,183,5.55,48,81,129,3.91,9,41,20,9,81,1,
34,"Dunnican, Kameron",So,C,6-8,32,9,348:00:00,22,44,50,,,,4,16,25,48,1.5,21,43,64,2,8,22,10,21,58,,
