Jersey,Player,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,ORebs,DRebs,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl
0,"Thomas, Torlorf",Fr,G,6-4,27,2,148:00:00,11,30,36.67,5,18,27.78,11,14,78.57,38,1.41,,7,7,0.26,10,3,7,,19,,
1,"Dunnican, Kameron",Jr,C,6-8,6,,49:00:00,4,4,100,,,,6,6,100,14,2.33,1,2,3,0.5,,2,2,3,11,,
2,"Mike, Sam",Sr,F,6-6,32,,327:00:00,12,28,42.86,,,,12,23,52.17,36,1.12,25,30,55,1.72,2,13,5,5,51,,
4,"Diamond, Curtis",Jr,G,6-3,34,4,731:00:00,76,226,33.63,39,132,29.55,25,33,75.76,216,6.35,7,62,69,2.03,28,30,20,4,49,,
5,"Hewitt, Jelani",Jr,G,6-2,34,33,1152:00:00,211,520,40.58,85,236,36.02,153,184,83.15,660,19.41,31,120,151,4.44,104,103,75,5,78,1,
10,"Baynham, Marvin",Sr,F,6-6,34,29,819:00:00,70,111,63.06,,,,43,71,60.56,183,5.38,71,119,190,5.59,11,54,22,13,106,,
11,"Bussey, Tré",Sr,G,6-2,34,34,1186:00:00,197,431,45.71,57,148,38.51,100,151,66.23,551,16.21,36,92,128,3.76,66,51,33,3,40,,
12,"Holmes, Brian",Sr,G,6-1,30,29,900:00:00,83,210,39.52,47,126,37.3,58,77,75.32,271,9.03,4,70,74,2.47,73,46,27,4,58,,
13,"Matias, Angel",Jr,F,6-4,34,34,841:00:00,104,205,50.73,5,37,13.51,50,102,49.02,263,7.74,77,150,227,6.68,19,52,19,9,76,3,
14,"Altany, Zach",N/A,,6-4,8,,12:00,,5,,,3,0,,,,,,,3,3,0.38,,,,,,,
14,"Clark, Grayson",N/A,,6-2,11,,20:00,2,6,33.33,1,1,100,,,,5,0.45,1,3,4,0.36,1,1,1,,3,,
21,"Rives, Cole",So,G,6-0,11,,21:00,,6,,,4,0,,,,,,,1,1,0.09,1,1,2,,1,,
23,"Suter, D.J.",N/A,,6-0,1,0,2:00,,,,,,,,,,,,,,,,,,,,2,,
30,"Kelly, Scott",N/A,,6-5,12,,33:00:00,1,2,50,,,,,2,0,2,0.17,1,5,6,0.5,,1,,,4,,
35,"Doyle, Kyle",Fr,F,-,30,5,634:00:00,69,143,48.25,3,11,27.27,26,68,38.24,167,5.57,63,101,164,5.47,12,42,20,10,90,3,
