Jersey,Player,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,ORebs,DRebs,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ
0,"Glenn, Montae",So,F,6-8,33,21,621:00:00,72,121,59.5,,,,33,60,55,177,5.36,92,70,162,4.91,5,30,11,17,84,1,,3
1,"Boykins, Devonte",Jr,G,6-2,33,1,618:00:00,41,106,38.68,22,62,35.48,21,36,58.33,125,3.79,5,53,58,1.76,34,30,18,1,49,,,
2,"Hughes, Mike",Jr,G,6-3,30,30,917:00:00,100,277,36.1,58,175,33.14,59,80,73.75,317,10.57,12,104,116,3.87,48,58,35,5,77,,,2
3,"Smith, Ike",So,G,6-4,33,33,1005:00:00,230,462,49.78,61,154,39.61,127,195,65.13,648,19.64,35,137,172,5.21,56,72,47,21,74,2,,
4,"Brown, Tookie",So,G,5-11,33,33,1123:00:00,177,436,40.6,61,177,34.46,148,193,76.68,563,17.06,8,104,112,3.39,131,73,46,10,70,1,,
5,"Gladden, B.J.",Jr,F,6-6,33,5,660:00:00,54,145,37.24,11,52,21.15,64,118,54.24,183,5.55,23,115,138,4.18,27,43,20,16,64,1,,1
10,"Allsmiller, Jake",Jr,G,6-5,33,21,772:00:00,82,195,42.05,77,180,42.78,16,18,88.89,257,7.79,7,45,52,1.58,23,31,19,10,79,,,2
11,"O'Connell, Shawn",So,F,6-8,29,10,367:00:00,44,77,57.14,3,9,33.33,19,27,70.37,110,3.79,30,51,81,2.79,1,13,7,13,66,,,2
12,"McRae, Aubrey",So,G,6-3,10,,34:00:00,5,21,23.81,5,16,31.25,2,3,66.67,17,1.7,1,2,3,0.3,1,2,4,,4,,,
14,"Simmons, Coye",Jr,F,6-8,30,11,457:00:00,27,50,54,,,,14,22,63.64,68,2.27,52,80,132,4.4,7,22,13,8,72,,,2
21,"Holder, James",Sr,G,6-1,5,,13:00,2,6,33.33,1,3,33.33,1,2,50,6,1.2,1,2,3,0.6,6,1,2,,,,,
24,"Wimberly, Brandon",Jr,G,6-1,4,,12:00,3,4,75,1,1,100,2,3,66.67,9,2.25,1,1,2,0.5,,,,,,,,
25,"Georgiev, David",Fr,F,6-7,4,,7:00,2,3,66.67,1,2,50,,2,0,5,1.25,1,2,3,0.75,2,,,1,2,,,
30,"Reynolds, Dede",N/A,,5-11,2,,6:00,,2,0,,1,0,1,4,25,1,0.5,,1,1,0.5,,,,,,,,
33,"Bullock, Dominique",Sr,G,5-11,5,,11:00,2,5,40,2,5,40,,,,6,1.2,,1,1,0.2,1,2,2,,,,,
