Jersey,Player,Yr,Pos,Ht,GP,GS,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,ORebs,DRebs,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ
0,"Glenn, Montae",Sr,F,6-8,30,28,30,732:27:00,119,192,61.98,,,,49,68,72.06,287,9.57,98,127,225,7.5,17,57,14,33,70,7,0,
2,"McCadden, Elijah",Fr,F,6-5,32,6,32,695:25:00,67,136,49.26,6,27,22.22,25,46,54.35,165,5.16,12,68,80,2.5,39,65,23,6,71,0,0,1
3,"Smith, Ike",Sr,G,6-4,11,10,11,292:14:00,56,124,45.16,15,59,25.42,20,33,60.61,147,13.36,10,47,57,5.18,7,15,8,5,17,1,0,
4,"Brown, Tookie",Sr,G,5-11,33,33,33,1162:29:00,198,399,49.62,40,118,33.9,136,178,76.4,572,17.33,24,116,140,4.24,154,77,44,4,71,2,0,
5,"Dawkins, Trey",Jr,F,6-8,16,,16,98:02:00,11,26,42.31,5,15,33.33,9,12,75,36,2.25,9,8,17,1.06,1,6,3,8,18,0,0,
10,"Wishart, Calvin",Fr,G,6-1,30,16,30,536:01:00,47,132,35.61,34,99,34.34,27,40,67.5,155,5.17,8,45,53,1.77,40,42,27,1,64,0,0,
13,"Jackson, Quan",So,G,6-4,31,31,31,994:05:00,158,358,44.13,47,142,33.1,95,129,73.64,458,14.77,14,126,140,4.52,45,57,62,16,60,0,0,
21,"Yuminami, Eito",Fr,G,5-6,8,,8,17:27,3,5,60,,,,2,2,100,8,1,,4,4,0.5,1,,,,1,0,0,
23,"Carter, Simeon",Jr,F,6-8,28,5,28,509:08:00,106,182,58.24,3,20,15,17,27,62.96,232,8.29,32,91,123,4.39,13,15,9,38,44,0,0,
24,"Jones Jr., David-Lee",Jr,G,6-0,33,5,33,761:38:00,89,198,44.95,39,98,39.8,40,59,67.8,257,7.79,9,58,67,2.03,61,42,33,6,74,0,0,1
30,"Cooper, Daniel",Fr,G,6-3,2,,2,3:55,,,,,,,2,2,100,2,1,,1,1,0.5,1,,1,,1,0,0,
30,"Walker, Jordan",N/A,,-,2,,2,2:01,,1,0,,1,0,,,,,,,,,,,,,,,0,0,
35,"Crawford, Tyshaun",Fr,C,7-1,10,,10,34:02:00,11,14,78.57,,,,2,4,50,24,2.4,6,8,14,1.4,,1,,2,5,0,0,
53,"Crawley, Isaiah",Jr,F,6-7,33,31,33,811:33:00,147,261,56.32,15,53,28.3,74,120,61.67,383,11.61,62,118,180,5.45,24,67,31,13,94,5,0,3
