Jersey,Player,Yr,Pos,Ht,GP,GS,MP,G,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,ORebs,DRebs,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls
0,"Lamar, Trevion",Jr,F,6-5,15,,187:49:00,15,11,39,28.21,5,26,19.23,5,8,62.5,32,2.13,14,22,36,2.4,9,7,8,,10,0,0,,
1,"Viti, David",Fr,F,6-5,27,,203:27:00,27,21,52,40.38,14,40,35,7,12,58.33,63,2.33,3,15,18,0.67,7,5,3,1,26,0,0,,
2,"McCadden, Elijah",So,F,6-5,33,31,992:18:00,33,118,289,40.83,41,117,35.04,74,111,66.67,351,10.64,35,114,149,4.52,73,75,45,9,76,0,0,3,1
3,"Smith, Ike",Sr,G,6-4,32,32,963:47:00,32,153,356,42.98,53,159,33.33,92,139,66.19,451,14.09,25,151,176,5.5,67,67,26,15,48,1,0,,
4,"Cincore, Jalen",Fr,G,6-5,8,,20:46,8,2,4,50,,2,0,,,,4,0.5,1,6,7,0.88,1,3,1,1,4,0,0,,
5,"Dawkins, Trey",Sr,F,6-8,28,1,244:50:00,28,27,50,54,5,16,31.25,17,24,70.83,76,2.71,24,20,44,1.57,,11,4,23,37,0,0,1,1
10,"Wishart, Calvin",So,G,6-1,29,23,801:53:00,29,89,209,42.58,59,154,38.31,36,50,72,273,9.41,7,66,73,2.52,79,55,29,6,71,0,0,2,1
13,"Jackson, Quan",Jr,G,6-4,33,33,1085:12:00,33,153,392,39.03,50,170,29.41,94,143,65.73,450,13.64,18,132,150,4.55,50,57,86,12,67,0,0,,1
21,"Yuminami, Eito",So,G,5-6,9,,21:59,9,3,7,42.86,3,5,60,6,6,100,15,1.67,,2,2,0.22,3,2,2,,3,0,0,,
23,"Carter, Simeon",Sr,F,6-8,30,8,644:53:00,30,105,198,53.03,1,12,8.33,21,32,65.62,232,7.73,58,104,162,5.4,13,34,13,45,64,0,0,1,1
24,"Jones Jr., David-Lee",Sr,G,6-0,28,10,562:15:00,28,53,137,38.69,18,54,33.33,26,36,72.22,150,5.36,10,57,67,2.39,49,34,22,2,53,0,0,1,1
30,"Walker, Jordan",Sr,F,-,9,,17:43,9,2,6,33.33,,1,0,1,2,50,5,0.56,1,1,2,0.22,1,1,,1,1,0,0,,
33,"Lincoln, JeMar",Jr,G,6-1,3,,5:16,3,1,3,33.33,,2,0,,,,2,0.67,1,1,2,0.67,,1,1,,2,0,0,,
34,"Sowers, Jacob",Jr,G,6-0,6,,16:15,6,1,3,33.33,,,,2,2,100,4,0.67,1,3,4,0.67,,1,,,1,0,0,,
53,"Crawley, Isaiah",Sr,F,6-7,29,27,831:36:00,29,135,234,57.69,11,34,32.35,105,156,67.31,386,13.31,91,103,194,6.69,55,63,20,12,79,5,0,2,1
